Date,Daily temperature,Daily specific humidity,Daily wind velocity,Daily AQI,Travel index,mu,alpha,R0
2020-02-18,310.57575303854856,0.001697708573153923,2.3572021501739235,42,2.4258,0.04371092646335183,0.01164032786209876,0.2663024740932512
2020-02-19,309.365660434768,0.00247996134306367,3.0420503517507904,79,2.417,0.04569902515216153,0.009768141931784805,0.21374945962764766
2020-02-20,306.5139280013632,0.003294982498909861,2.1689792420867793,143,2.4069,0.038212752927290865,0.0051703581605950545,0.13530451915968816
2020-02-21,307.9783464173786,0.0019946749612639297,4.667966991006592,100,2.4652,0.04039323995578044,0.0035309839821571366,0.08741522061668239
2020-02-22,306.81694623010543,0.001080015836222096,5.067363534839137,40,1.5908,0.04420674505325091,0.003705879670495368,0.08383063865098664
2020-02-23,311.4508673843792,0.002001622947434972,3.163811710660417,58,1.5594,0.058234443688139285,0.0010152472360006552,0.017433792987489843
2020-02-24,312.62631194562795,0.0028032420253792764,3.8008815790028434,83,2.7557,0.06548749918803913,0.01343783821607825,0.20519699763604024
2020-02-25,309.8778611101598,0.002748748805265517,2.7387877173712605,70,2.6773,0.07076237396387239,0.01343783821607825,0.18990089596116316
2020-02-26,308.30523252803766,0.002563330570119665,2.3500244483803283,53,2.7353,0.07405143592062087,0.01379248007357416,0.18625540345171634
2020-02-27,305.8084885049862,0.0025825401979513397,3.983978308711848,40,2.7116,0.05952774598256631,0.01682284093626549,0.28260503834955114
2020-02-28,309.0653563190031,0.003485772050605729,2.6715082187951165,88,2.792,0.051438767216135564,0.005950667285737439,0.11568448483094293
2020-02-29,307.6373205686262,0.004230971582831268,2.3174374975405407,114,1.7131,0.04710344771747108,0.005950667285737439,0.1263318838448907
2020-03-01,308.4178347136743,0.00200080290762174,5.0694895921088925,38,1.8045,0.036724994037415366,0.009665621704080423,0.2631891973687757
2020-03-02,307.4146669365392,0.0019405186121668864,4.281048738145746,36,3.1671,0.03436662776600562,0.008374424951479734,0.24367898440601302
2020-03-03,305.3762373413802,0.001413852697047995,6.809307441821757,39,3.0333,0.02683421368903505,0.013903791053702241,0.5181367046869565
2020-03-04,303.65378846812126,0.0009659384048677945,4.634628554918794,38,3.1057,0.02577748398936875,0.0208004779190854,0.8069242881758364
2020-03-05,307.2307537224181,0.0019625045514139565,4.333831003864945,54,3.0999,0.02430364463785806,0.01919396408106631,0.7897566133421675
2020-03-06,311.36054501714364,0.003858004055847984,2.323818449953496,113,3.1469,0.031586253333510235,0.01745479997097566,0.5526074835997611
2020-03-07,313.065260932743,0.003225023072219202,3.5249451680607358,87,2.0726,0.03934015135289498,0.01227981629938424,0.3121446124909377
2020-03-08,310.84676857518843,0.004651441441182546,2.1468524331948435,128,1.8734,0.04260064981653445,0.01726455423238384,0.405265044236086
2020-03-09,311.9163331172553,0.0035486292992717968,4.0096348516254405,70,3.3765,0.04974658180103725,0.01378622455856338,0.27712908222924226
2020-03-10,310.29052573881097,0.0011161639153848238,4.3033548416466205,39,3.3717,0.05445088287630606,0.01593680563199348,0.2926822264424343
2020-03-11,314.0115929506061,0.0022244820879302168,3.3606496462363564,55,3.4222,0.0612061431199384,0.01635763434990763,0.267254780583928
2020-03-12,313.2563984806854,0.001964346959582808,4.89399477194046,41,3.3891,0.05932495500112653,0.016976463201731268,0.28616057443969245
2020-03-13,309.5686125930427,0.0008466382714823131,4.813108624825966,40,3.4999,0.055829049855056365,0.02685320911971033,0.4809899002298402
2020-03-14,314.1248215279203,0.001362925024114214,5.664103292338336,43,2.2523,0.06362474877978755,0.04720309401989763,0.7418983166954871
2020-03-15,314.9544118045699,0.00225503798808826,4.7552545494227525,45,2.2133,0.06000390686044695,0.052472562715430236,0.8744857703593767
2020-03-16,312.60857622742816,0.0029119427344591465,3.6512898028385066,61,3.6972,0.06558832244486253,0.09451892363804996,1.441093781861981
2020-03-17,321.02479864625417,0.002676474870473768,3.871265431772249,56,3.6903,0.06411220864990816,0.09768594609818848,1.5236715152275198
2020-03-18,320.9374865226767,0.002598257470395513,6.014806455376505,89,3.6853,0.056316509725176975,0.1052936850560404,1.8696770373354232
2020-03-19,314.9857637620492,0.0013682439137179204,5.786669262217482,46,3.6655,0.055779493998287834,0.1239618226774577,2.2223547363348755
2020-03-20,321.11502288883173,0.002874973414211094,3.06462552527287,60,3.8176,0.04396866331953262,0.08828358121238325,2.007875030696332
2020-03-21,318.07584726320715,0.0029057148251022337,3.798439864398506,72,2.5395,0.0348534840670536,0.13138152450146098,3.769537766976178
2020-03-22,319.7747961592764,0.0027418350553491035,4.099335089302817,62,2.4417,0.017649182991784782,0.1081700487081314,6.128898360818268
2020-03-23,320.85451697986304,0.002730241063556292,3.6149107815637036,53,3.9845,0.008194637537239324,0.08990702157077993,10.9714457975976
2020-03-24,318.4988368142911,0.004314812480793756,3.13060669483875,70,3.9459,0.008317156527682844,0.07623358994785659,9.165823643467633
2020-03-25,321.9065340223832,0.005869919267763799,3.228525716543277,153,4.0009,0.01043373830470605,0.02396294829966032,2.296679061698532
2020-03-26,310.9895883872219,0.0021651878122896442,7.431831100481928,39,3.821,0.01301438346599637,0.02222764657253359,1.7079292792170588
2020-03-27,309.754933751132,0.000729144164882319,6.001560017244878,40,4.0457,0.01162160214964817,0.01550135833729796,1.3338400452615085
2020-03-28,311.86111127019365,0.001162290189571192,3.374493721423598,39,2.7754,0.012821039654818159,0.01412817529730608,1.101952390576742
2020-03-29,315.4515665317934,0.002569267685825113,4.0553637082072,63,2.631,0.01151417447698524,0.01025710527830703,0.8908242009715186
2020-03-30,317.9110538017813,0.004126604033798299,4.566616162940412,92,4.2272,0.01672573710790271,0.007693150418916544,0.4599588268837265
2020-03-31,318.0103376355268,0.004126685291274822,4.007110935778395,87,4.0617,0.02878518509091758,0.007752600363455563,0.2693260557112657
2020-04-01,314.324816645676,0.0013800720677635645,3.930814831734664,42,4.1222,0.029363402554891914,0.006767798150346236,0.2304841251859188
2020-04-02,318.14001175491336,0.001591556620233125,3.9993763114584566,42,4.095,0.03111584675337928,0.008206686156902517,0.2637461940839275
2020-04-03,322.77720113787905,0.0018450193685495048,4.707157964907445,47,4.1992,0.02624334699036857,0.00706910734395595,0.2693675980640101
2020-04-04,316.0211538197152,0.001994767716630478,4.494555502862676,102,2.8729,0.02026295483350583,0.005735737976959374,0.2830652303224325
